.,Solvent,T (MPa^0.5),dD (MPa^0.5),dP (MPa^0.5),dH (MPa^0.5),Vm (cm3/mol),Sol.,RE
1,1-Butanol,23.2,16,5.7,15.8,91.5,1,2
2,Dioxane,20.47,19,1.8,7.4,85.7,1,0
3,2-Methoxyethanol,24.82,16.2,9.2,16.4,79,0,2
4,Acetone,19.94,15.5,10.4,7,74,0,1
5,Acetophenone,21.72,19.6,8.6,3.7,117.4,0,1
6,Benzene,18.51,18.4,0,2,89.4,1,0
7,Benzyl alcohol,23.79,18.4,6.3,13.7,103.6,0,1
8,Butyl acetate,17.41,15.8,3.7,6.3,132.5,0,0
9,Carbon tetrachloride,17.81,17.8,0,0.6,97.1,1,
10,Chlorobenzene,19.58,19,4.3,2,102.2,1,0
11,Chloroform,18.95,17.8,3.1,5.7,80.7,1,0
12,Cyclohexanol,22.4,17.4,4.1,13.5,106,0,1
13,Cyclopentanone,17.9,16.7,3.8,5.2,89.5,1,0
14,Dichlorobenzene,19.87,18.6,6.2,3.2,113,1,0
15,Diethyl carbonate,17.63,16.3,3,6,121,0,
16,Dimethyl formamide,24.86,17.4,13.7,11.3,77,0,1
17,Dimethyl sulfoxide,26.68,18.4,16.4,10.2,71.3,0,2
18,Ethanol,26.52,15.8,8.8,19.4,58.5,0,2
19,Ethoxyethanol,22.95,15.8,9,14,97.8,0,
20,Ethyl acetate,18.15,15.8,5.3,7.2,98.5,0,2
21,Ethylene dichloride,20.8,19,7.4,4.1,79.4,0,0
22,Ethylene glycol,32.95,17,11,26,55.8,0,4
23,Formamide,36.65,17.2,26.2,19,39.8,0,4
24,Hexane,14.9,14.9,0,0,131.6,0,1
25,Isophorone,19.94,16.6,8.2,7.4,150.5,1,
26,Mesitylene,18.01,18,0,0.6,139.6,1,
27,Methanol,29.61,15.1,12.3,22.3,40.7,0,3
28,Propyl acetate,17.62,15.3,4.3,7.6,115.8,0,1
29,Propylene glycol,30.22,16.8,9.4,23.3,73.6,0,3
30,PGMEA,19.26,15.6,5.6,9.8,148.4,0,1
31,Tetrahydrofuran,19.46,16.8,5.7,8,81.7,1,0
32,Toluene,18.16,18,1.4,2,106.8,1,0
33,Tetralin,19.01,18.7,2,2.8,136.9,1,
34,PBTTT,19.05150913,18.6,3.2,2.6,607.6,,3
35,F4TCNQ,19.54123845,16.5,9.5,4.4,161.73,,
36,PMMA,21.32,17.92,7.34,7.83,84.8,,
37,PS,18.83,17.53,5.44,5.75,99.2,,
