Compound,Molar Volume (cm^3/mol),Molar Mass (g/mol),Density g/cm^3,dD,dP,dH,R,RED_F4TCNQ,RED_PBTTT
Anisole,108.68,108.14,1.00,17.8,4.4,6.9,6.24,0.69,1.35
o-Xylene,120.78,106.17,0.88,18.0,2.6,2.8,7.69,0.85,0.86
THF,81.24,72.11,0.89,16.8,5.7,8.0,5.26,0.58,1.99
DMSO,71.00,78.13,1.10,18.4,16.4,10.2,9.78,1.08,4.35
Acetone,74.03,58.08,0.78,15.5,10.4,7.0,3.40,0.37,2.99
ACN,52.23,41.05,0.79,15.3,18.0,6.1,8.99,0.99,4.74
nBA,91.51,74.12,0.81,15.8,3.7,6.3,2.26,0.69,1.92
Cyrene,102.72,128.13,1.25,18.9,12.4,7.1,6.22,0.69,2.93
NMP,96.43,99.13,1.03,18.0,12.3,7.2,4.96,0.55,2.93
PBTTT,607.60,668.36,1.10,18.6,3.2,2.6,3.50,,
F4TCNQ,161.73,276.15,1.71,16.5,9.5,4.4,9.00,,
,,,,,,,,,
,,,(P3HT),,,,,,
,,,,,,,,,
,Sources,,,,,,,,
