Solvent,T (MPa^0.5),dD (MPa^0.5),dP (MPa^0.5),dH (MPa^0.5),Vm (cm3/mol)
Water,47.81,15.50,16.00,42.30,18.4
1-Butanol,23.20,16.00,5.70,15.80,91.5
Dioxane,20.47,19.00,1.80,7.40,85.7
2-Methoxyethanol,24.82,16.20,9.20,16.40,79.0
Acetone,19.94,15.50,10.40,7.00,74.0
Acetophenone,21.72,19.60,8.60,3.70,117.4
Benzene,18.51,18.40,0.00,2.00,89.4
Benzyl alcohol,23.79,18.40,6.30,13.70,103.6
Butyl acetate,17.41,15.80,3.70,6.30,132.5
Carbon tetrachloride,17.81,17.80,0.00,0.60,97.1
Chlorobenzene,19.58,19.00,4.30,2.00,102.2
Chloroform,18.95,17.80,3.10,5.70,80.7
Cyclohexanol,22.40,17.40,4.10,13.50,106.0
Cyclopentanone,17.90,16.70,3.80,5.20,89.5
Dichlorobenzene,19.87,18.60,6.20,3.20,113.0
Diethyl carbonate,17.63,16.30,3.00,6.00,121.0
Dimethyl formamide,24.86,17.40,13.70,11.30,77.0
Dimethyl sulfoxide,26.68,18.40,16.40,10.20,71.3
Ethanol,26.52,15.80,8.80,19.40,58.5
Ethoxyethanol,22.95,15.80,9.00,14.00,97.8
Ethyl acetate,18.15,15.80,5.30,7.20,98.5
Ethylene dichloride,20.80,19.00,7.40,4.10,79.4
Ethylene glycol,32.95,17.00,11.00,26.00,55.8
Formamide,36.65,17.20,26.20,19.00,39.8
Hexane,14.90,14.90,0.00,0.00,131.6
Isophorone,19.94,16.60,8.20,7.40,150.5
Mesitylene,18.01,18.00,0.00,0.60,139.6
Methanol,29.61,15.10,12.30,22.30,40.7
Propyl acetate,17.62,15.30,4.30,7.60,115.8
Propylene glycol,30.22,16.80,9.40,23.30,73.6
PGMEA,19.26,15.60,5.60,9.80,148.4
Tetrahydrofuran,19.46,16.80,5.70,8.00,81.7
Toluene,18.16,18.00,1.40,2.00,106.8
Tetralin,19.01,18.70,2.00,2.80,136.9
